district,year,owner,spa_dyw
Gewerbeschule,2029,private housing,40.1812
Gewerbeschule,2030,cooperative housing,34.4934
Gewerbeschule,2030,private housing,40.2446
Gewerbeschule,2031,cooperative housing,34.5306
Gewerbeschule,2031,private housing,40.3079
Gewerbeschule,2032,cooperative housing,34.5679
Gewerbeschule,2032,private housing,40.3712
Gewerbeschule,2033,cooperative housing,34.6051
Gewerbeschule,2033,private housing,40.4346
Gewerbeschule,2034,cooperative housing,34.6424
Gewerbeschule,2034,private housing,40.4979
Gewerbeschule,2035,cooperative housing,34.6796
Gewerbeschule,2035,private housing,40.5612
Gewerbeschule,2036,cooperative housing,34.7169
Gewerbeschule,2036,private housing,40.6246
Gewerbeschule,2037,cooperative housing,34.7541
Gewerbeschule,2037,private housing,40.6879
Gewerbeschule,2038,cooperative housing,34.7914
Gewerbeschule,2038,private housing,40.7512
Gewerbeschule,2039,cooperative housing,34.8286
Gewerbeschule,2039,private housing,40.8146
Gewerbeschule,2040,cooperative housing,34.8659
Gewerbeschule,2040,private housing,40.8779
Gewerbeschule,2041,cooperative housing,34.9031
Gewerbeschule,2041,private housing,40.9412
Gewerbeschule,2042,cooperative housing,34.9404
Gewerbeschule,2042,private housing,41.0046
Gewerbeschule,2043,cooperative housing,34.9776
Gewerbeschule,2043,private housing,41.0679
Gewerbeschule,2044,cooperative housing,35.0149
Gewerbeschule,2044,private housing,41.1312
Gewerbeschule,2045,cooperative housing,35.0521
Gewerbeschule,2045,private housing,41.1946
Gewerbeschule,2046,cooperative housing,35.0894
Gewerbeschule,2046,private housing,41.2579
Gewerbeschule,2047,cooperative housing,35.1266
Gewerbeschule,2047,private housing,41.3212
Gewerbeschule,2048,cooperative housing,35.1639
Gewerbeschule,2048,private housing,41.3846
Gewerbeschule,2049,cooperative housing,35.2011
Gewerbeschule,2049,private housing,41.4479
Gewerbeschule,2050,cooperative housing,35.2383
Gewerbeschule,2050,private housing,41.5112
Escher Wyss,2021,cooperative housing,34.0824
Escher Wyss,2021,private housing,54.7652
Escher Wyss,2022,cooperative housing,34.0864
Escher Wyss,2022,private housing,54.7652
Escher Wyss,2023,cooperative housing,34.0904
Escher Wyss,2023,private housing,54.7652
Escher Wyss,2024,cooperative housing,34.0944
Escher Wyss,2024,private housing,54.7652
Escher Wyss,2025,cooperative housing,34.0984
Escher Wyss,2025,private housing,54.7652
Escher Wyss,2026,cooperative housing,34.1024
Escher Wyss,2026,private housing,54.7652
Escher Wyss,2027,cooperative housing,34.1064
Escher Wyss,2027,private housing,54.7652
Escher Wyss,2028,cooperative housing,34.1105
Escher Wyss,2028,private housing,54.7652
Escher Wyss,2029,cooperative housing,34.1145
Escher Wyss,2029,private housing,54.7652
Escher Wyss,2030,cooperative housing,34.1185
Escher Wyss,2030,private housing,54.7652
Escher Wyss,2031,cooperative housing,34.1225
Escher Wyss,2031,private housing,54.7652
Escher Wyss,2032,cooperative housing,34.1265
Escher Wyss,2032,private housing,54.7652
Escher Wyss,2033,cooperative housing,34.1305
Escher Wyss,2033,private housing,54.7652
Escher Wyss,2034,cooperative housing,34.1345
Escher Wyss,2034,private housing,54.7652
Escher Wyss,2035,cooperative housing,34.1385
Escher Wyss,2035,private housing,54.7652
Escher Wyss,2036,cooperative housing,34.1425
Escher Wyss,2036,private housing,54.7652
Escher Wyss,2037,cooperative housing,34.1465
Escher Wyss,2037,private housing,54.7652
Escher Wyss,2038,cooperative housing,34.1505
Escher Wyss,2038,private housing,54.7652
Escher Wyss,2039,cooperative housing,34.1545
Escher Wyss,2039,private housing,54.7652
Escher Wyss,2040,cooperative housing,34.1585
Escher Wyss,2040,private housing,54.7652
Escher Wyss,2041,cooperative housing,34.1625
Escher Wyss,2041,private housing,54.7652
Escher Wyss,2042,cooperative housing,34.1665
Escher Wyss,2042,private housing,54.7652
Escher Wyss,2043,cooperative housing,34.1705
Escher Wyss,2043,private housing,54.7652
Escher Wyss,2044,cooperative housing,34.1745
Escher Wyss,2044,private housing,54.7652
Escher Wyss,2045,cooperative housing,34.1785
Escher Wyss,2045,private housing,54.7652
Escher Wyss,2046,cooperative housing,34.1825
Escher Wyss,2046,private housing,54.7652
Escher Wyss,2047,cooperative housing,34.1865
Escher Wyss,2047,private housing,54.7652
Escher Wyss,2048,cooperative housing,34.1906
Escher Wyss,2048,private housing,54.7652
Escher Wyss,2049,cooperative housing,34.1946
Escher Wyss,2049,private housing,54.7652
Escher Wyss,2050,cooperative housing,34.1986
Escher Wyss,2050,private housing,54.7652
Unterstrass,2021,cooperative housing,34.1424
Unterstrass,2021,private housing,44.9482
Unterstrass,2022,cooperative housing,34.1376
Unterstrass,2022,private housing,44.8922
Unterstrass,2023,cooperative housing,34.1328
Unterstrass,2023,private housing,44.8362
Unterstrass,2024,cooperative housing,34.128
Unterstrass,2024,private housing,44.7803
Unterstrass,2025,cooperative housing,34.1232
Unterstrass,2025,private housing,44.7243
Unterstrass,2026,cooperative housing,34.1184
Unterstrass,2026,private housing,44.6684
Unterstrass,2027,cooperative housing,34.1136
Unterstrass,2027,private housing,44.6124
Unterstrass,2028,cooperative housing,34.1089
Unterstrass,2028,private housing,44.5565
Unterstrass,2029,cooperative housing,34.1041
Unterstrass,2029,private housing,44.5005
Unterstrass,2030,cooperative housing,34.0993
Unterstrass,2030,private housing,44.4446
Unterstrass,2031,cooperative housing,34.0945
Unterstrass,2031,private housing,44.3886
Unterstrass,2032,cooperative housing,34.0897
Unterstrass,2032,private housing,44.3327
Unterstrass,2033,cooperative housing,34.0849
Unterstrass,2033,private housing,44.2767
Unterstrass,2034,cooperative housing,34.0801
Unterstrass,2034,private housing,44.2208
Unterstrass,2035,cooperative housing,34.0753
Unterstrass,2035,private housing,44.1648
Unterstrass,2036,cooperative housing,34.0706
Unterstrass,2036,private housing,44.1089
Unterstrass,2037,cooperative housing,34.0658
Unterstrass,2037,private housing,44.0529
Unterstrass,2038,cooperative housing,34.061
Unterstrass,2038,private housing,43.9969
Unterstrass,2039,cooperative housing,34.0562
Unterstrass,2039,private housing,43.941
Unterstrass,2040,cooperative housing,34.0514
Unterstrass,2040,private housing,43.885
Unterstrass,2041,cooperative housing,34.0466
Unterstrass,2041,private housing,43.8291
Unterstrass,2042,cooperative housing,34.0418
Unterstrass,2042,private housing,43.7731
Unterstrass,2043,cooperative housing,34.0371
Unterstrass,2043,private housing,43.7172
Unterstrass,2044,cooperative housing,34.0323
Unterstrass,2044,private housing,43.6612
Unterstrass,2045,cooperative housing,34.0275
Unterstrass,2045,private housing,43.6053
Unterstrass,2046,cooperative housing,34.0227
Unterstrass,2046,private housing,43.5493
Unterstrass,2047,cooperative housing,34.0179
Unterstrass,2047,private housing,43.4934
Unterstrass,2048,cooperative housing,34.0131
Unterstrass,2048,private housing,43.4374
Unterstrass,2049,cooperative housing,34.0083
Unterstrass,2049,private housing,43.3815
Unterstrass,2050,cooperative housing,34.0036
Unterstrass,2050,private housing,43.3255
Oberstrass,2021,cooperative housing,34.2146
Oberstrass,2021,private housing,48.0965
Oberstrass,2022,cooperative housing,34.2445
Oberstrass,2022,private housing,48.0738
Oberstrass,2023,cooperative housing,34.2745
Oberstrass,2023,private housing,48.0511
Oberstrass,2024,cooperative housing,34.3045
Oberstrass,2024,private housing,48.0283
Oberstrass,2025,cooperative housing,34.3345
Oberstrass,2025,private housing,48.0056
Oberstrass,2026,cooperative housing,34.3645
Oberstrass,2026,private housing,47.9829
Oberstrass,2027,cooperative housing,34.3944
Oberstrass,2027,private housing,47.9602
Oberstrass,2028,cooperative housing,34.4244
Oberstrass,2028,private housing,47.9375
Oberstrass,2029,cooperative housing,34.4544
Oberstrass,2029,private housing,47.9148
Oberstrass,2030,cooperative housing,34.4844
Oberstrass,2030,private housing,47.8921
Oberstrass,2031,cooperative housing,34.5143
Oberstrass,2031,private housing,47.8694
Oberstrass,2032,cooperative housing,34.5443
Oberstrass,2032,private housing,47.8466
Oberstrass,2033,cooperative housing,34.5743
Oberstrass,2033,private housing,47.8239
Oberstrass,2034,cooperative housing,34.6043
Oberstrass,2034,private housing,47.8012
Oberstrass,2035,cooperative housing,34.6342
Oberstrass,2035,private housing,47.7785
Oberstrass,2036,cooperative housing,34.6642
Oberstrass,2036,private housing,47.7558
Oberstrass,2037,cooperative housing,34.6942
Oberstrass,2037,private housing,47.7331
Oberstrass,2038,cooperative housing,34.7242
Oberstrass,2038,private housing,47.7104
Oberstrass,2039,cooperative housing,34.7542
Oberstrass,2039,private housing,47.6877
Oberstrass,2040,cooperative housing,34.7841
Oberstrass,2040,private housing,47.6649
Oberstrass,2041,cooperative housing,34.8141
Oberstrass,2041,private housing,47.6422
Oberstrass,2042,cooperative housing,34.8441
Oberstrass,2042,private housing,47.6195
Oberstrass,2043,cooperative housing,34.8741
Oberstrass,2043,private housing,47.5968
Oberstrass,2044,cooperative housing,34.904
Oberstrass,2044,private housing,47.5741
Oberstrass,2045,cooperative housing,34.934
Oberstrass,2045,private housing,47.5514
Oberstrass,2046,cooperative housing,34.964
Oberstrass,2046,private housing,47.5287
Oberstrass,2047,cooperative housing,34.994
Oberstrass,2047,private housing,47.506
Oberstrass,2048,cooperative housing,35.024
Oberstrass,2048,private housing,47.4832
Oberstrass,2049,cooperative housing,35.0539
Oberstrass,2049,private housing,47.4605
Oberstrass,2050,cooperative housing,35.0839
Oberstrass,2050,private housing,47.4378
Fluntern,2021,cooperative housing,34.0824
Fluntern,2021,private housing,56.9712
Fluntern,2022,cooperative housing,34.0864
Fluntern,2022,private housing,56.9348
Fluntern,2023,cooperative housing,34.0904
Fluntern,2023,private housing,56.8984
Fluntern,2024,cooperative housing,34.0944
Fluntern,2024,private housing,56.862
Fluntern,2025,cooperative housing,34.0984
Fluntern,2025,private housing,56.8257
Fluntern,2026,cooperative housing,34.1024
Fluntern,2026,private housing,56.7893
Fluntern,2027,cooperative housing,34.1064
Fluntern,2027,private housing,56.7529
Fluntern,2028,cooperative housing,34.1105
Fluntern,2028,private housing,56.7166
Fluntern,2029,cooperative housing,34.1145
Fluntern,2029,private housing,56.6802
Fluntern,2030,cooperative housing,34.1185
Fluntern,2030,private housing,56.6438
Fluntern,2031,cooperative housing,34.1225
Fluntern,2031,private housing,56.6075
Fluntern,2032,cooperative housing,34.1265
Fluntern,2032,private housing,56.5711
Fluntern,2033,cooperative housing,34.1305
Fluntern,2033,private housing,56.5347
Fluntern,2034,cooperative housing,34.1345
Fluntern,2034,private housing,56.4983
Fluntern,2035,cooperative housing,34.1385
Fluntern,2035,private housing,56.462
Fluntern,2036,cooperative housing,34.1425
Fluntern,2036,private housing,56.4256
Fluntern,2037,cooperative housing,34.1465
Fluntern,2037,private housing,56.3892
Fluntern,2038,cooperative housing,34.1505
Fluntern,2038,private housing,56.3529
Fluntern,2039,cooperative housing,34.1545
Fluntern,2039,private housing,56.3165
Fluntern,2040,cooperative housing,34.1585
Fluntern,2040,private housing,56.2801
Fluntern,2041,cooperative housing,34.1625
Fluntern,2041,private housing,56.2438
Fluntern,2042,cooperative housing,34.1665
Fluntern,2042,private housing,56.2074
Fluntern,2043,cooperative housing,34.1705
Fluntern,2043,private housing,56.171
Fluntern,2044,cooperative housing,34.1745
Fluntern,2044,private housing,56.1346
Fluntern,2045,cooperative housing,34.1785
Fluntern,2045,private housing,56.0983
Fluntern,2046,cooperative housing,34.1825
Fluntern,2046,private housing,56.0619
Fluntern,2047,cooperative housing,34.1865
Fluntern,2047,private housing,56.0255
Fluntern,2048,cooperative housing,34.1906
Fluntern,2048,private housing,55.9892
Fluntern,2049,cooperative housing,34.1946
Fluntern,2049,private housing,55.9528
Fluntern,2050,cooperative housing,34.1986
Fluntern,2050,private housing,55.9164
Hottingen,2021,cooperative housing,34.0824
Hottingen,2021,private housing,52.3194
Hottingen,2022,cooperative housing,34.0864
Hottingen,2022,private housing,52.245
Hottingen,2023,cooperative housing,34.0904
Hottingen,2023,private housing,52.1706
Hottingen,2024,cooperative housing,34.0944
Hottingen,2024,private housing,52.0963
Hottingen,2025,cooperative housing,34.0984
Hottingen,2025,private housing,52.0219
Hottingen,2026,cooperative housing,34.1024
Hottingen,2026,private housing,51.9475
Hottingen,2027,cooperative housing,34.1064
Hottingen,2027,private housing,51.8731
Hottingen,2028,cooperative housing,34.1105
Hottingen,2028,private housing,51.7988
Hottingen,2029,cooperative housing,34.1145
Hottingen,2029,private housing,51.7244
Hottingen,2030,cooperative housing,34.1185
Hottingen,2030,private housing,51.65
Hottingen,2031,cooperative housing,34.1225
Hottingen,2031,private housing,51.5756
Hottingen,2032,cooperative housing,34.1265
Hottingen,2032,private housing,51.5013
Hottingen,2033,cooperative housing,34.1305
Hottingen,2033,private housing,51.4269
Hottingen,2034,cooperative housing,34.1345
Hottingen,2034,private housing,51.3525
Hottingen,2035,cooperative housing,34.1385
Hottingen,2035,private housing,51.2782
Hottingen,2036,cooperative housing,34.1425
Hottingen,2036,private housing,51.2038
Hottingen,2037,cooperative housing,34.1465
Hottingen,2037,private housing,51.1294
Hottingen,2038,cooperative housing,34.1505
Hottingen,2038,private housing,51.055
