district,year,sex,origin,prop
Enge,2023,male,Swiss,22.0998
Enge,2023,male,foreign,30.2517
Enge,2023,female,Swiss,21.6832
Enge,2023,female,foreign,25.9652
Enge,2024,male,Swiss,21.9971
Enge,2024,male,foreign,30.3111
Enge,2024,female,Swiss,21.6015
Enge,2024,female,foreign,26.0904
Enge,2025,male,Swiss,21.8944
Enge,2025,male,foreign,30.3705
Enge,2025,female,Swiss,21.5197
Enge,2025,female,foreign,26.2155
Enge,2026,male,Swiss,21.7917
Enge,2026,male,foreign,30.4298
Enge,2026,female,Swiss,21.4379
Enge,2026,female,foreign,26.3406
Enge,2027,male,Swiss,21.689
Enge,2027,male,foreign,30.4892
Enge,2027,female,Swiss,21.3561
Enge,2027,female,foreign,26.4658
Enge,2028,male,Swiss,21.5863
Enge,2028,male,foreign,30.5485
Enge,2028,female,Swiss,21.2743
Enge,2028,female,foreign,26.5909
Enge,2029,male,Swiss,21.4836
Enge,2029,male,foreign,30.6079
Enge,2029,female,Swiss,21.1925
Enge,2029,female,foreign,26.716
Enge,2030,male,Swiss,21.3809
Enge,2030,male,foreign,30.6672
Enge,2030,female,Swiss,21.1107
Enge,2030,female,foreign,26.8411
Enge,2031,male,Swiss,21.2782
Enge,2031,male,foreign,30.7266
Enge,2031,female,Swiss,21.029
Enge,2031,female,foreign,26.9663
Enge,2032,male,Swiss,21.1755
Enge,2032,male,foreign,30.7859
Enge,2032,female,Swiss,20.9472
Enge,2032,female,foreign,27.0914
Enge,2033,male,Swiss,21.0728
Enge,2033,male,foreign,30.8453
Enge,2033,female,Swiss,20.8654
Enge,2033,female,foreign,27.2165
Enge,2034,male,Swiss,20.9701
Enge,2034,male,foreign,30.9047
Enge,2034,female,Swiss,20.7836
Enge,2034,female,foreign,27.3417
Enge,2035,male,Swiss,20.8674
Enge,2035,male,foreign,30.964
Enge,2035,female,Swiss,20.7018
Enge,2035,female,foreign,27.4668
Enge,2036,male,Swiss,20.7647
Enge,2036,male,foreign,31.0234
Enge,2036,female,Swiss,20.62
Enge,2036,female,foreign,27.5919
Enge,2037,male,Swiss,20.662
Enge,2037,male,foreign,31.0827
Enge,2037,female,Swiss,20.5383
