district,year,sex,origin,prop
Alt-Wiedikon,2038,female,foreign,26.6498
Alt-Wiedikon,2039,male,Swiss,18.6974
Alt-Wiedikon,2039,male,foreign,34.38
Alt-Wiedikon,2039,female,Swiss,20.1862
Alt-Wiedikon,2039,female,foreign,26.7363
Alt-Wiedikon,2040,male,Swiss,18.601
Alt-Wiedikon,2040,male,foreign,34.4326
Alt-Wiedikon,2040,female,Swiss,20.1436
Alt-Wiedikon,2040,female,foreign,26.8227
Alt-Wiedikon,2041,male,Swiss,18.5046
Alt-Wiedikon,2041,male,foreign,34.4852
Alt-Wiedikon,2041,female,Swiss,20.101
Alt-Wiedikon,2041,female,foreign,26.9092
Alt-Wiedikon,2042,male,Swiss,18.4081
Alt-Wiedikon,2042,male,foreign,34.5378
Alt-Wiedikon,2042,female,Swiss,20.0584
Alt-Wiedikon,2042,female,foreign,26.9956
Alt-Wiedikon,2043,male,Swiss,18.3117
Alt-Wiedikon,2043,male,foreign,34.5904
Alt-Wiedikon,2043,female,Swiss,20.0158
Alt-Wiedikon,2043,female,foreign,27.0821
Alt-Wiedikon,2044,male,Swiss,18.2153
Alt-Wiedikon,2044,male,foreign,34.643
Alt-Wiedikon,2044,female,Swiss,19.9732
Alt-Wiedikon,2044,female,foreign,27.1685
Alt-Wiedikon,2045,male,Swiss,18.1189
Alt-Wiedikon,2045,male,foreign,34.6956
Alt-Wiedikon,2045,female,Swiss,19.9305
Alt-Wiedikon,2045,female,foreign,27.255
Alt-Wiedikon,2046,male,Swiss,18.0224
Alt-Wiedikon,2046,male,foreign,34.7482
Alt-Wiedikon,2046,female,Swiss,19.8879
Alt-Wiedikon,2046,female,foreign,27.3415
Alt-Wiedikon,2047,male,Swiss,17.926
Alt-Wiedikon,2047,male,foreign,34.8008
Alt-Wiedikon,2047,female,Swiss,19.8453
Alt-Wiedikon,2047,female,foreign,27.4279
Alt-Wiedikon,2048,male,Swiss,17.8296
Alt-Wiedikon,2048,male,foreign,34.8534
Alt-Wiedikon,2048,female,Swiss,19.8027
Alt-Wiedikon,2048,female,foreign,27.5144
Alt-Wiedikon,2049,male,Swiss,17.7332
Alt-Wiedikon,2049,male,foreign,34.906
Alt-Wiedikon,2049,female,Swiss,19.7601
Alt-Wiedikon,2049,female,foreign,27.6008
Alt-Wiedikon,2050,male,Swiss,17.6367
Alt-Wiedikon,2050,male,foreign,34.9585
Alt-Wiedikon,2050,female,Swiss,19.7175
Alt-Wiedikon,2050,female,foreign,27.6873
Friesenberg,2021,male,Swiss,26.2144
Friesenberg,2021,male,foreign,24.3822
Friesenberg,2021,female,Swiss,29.0521
Friesenberg,2021,female,foreign,20.3513
Friesenberg,2022,male,Swiss,26.249
Friesenberg,2022,male,foreign,24.3091
Friesenberg,2022,female,Swiss,29.0333
Friesenberg,2022,female,foreign,20.4086
Friesenberg,2023,male,Swiss,26.2835
Friesenberg,2023,male,foreign,24.2359
Friesenberg,2023,female,Swiss,29.0145
Friesenberg,2023,female,foreign,20.466
Friesenberg,2024,male,Swiss,26.3181
Friesenberg,2024,male,foreign,24.1628
Friesenberg,2024,female,Swiss,28.9957
Friesenberg,2024,female,foreign,20.5234
Friesenberg,2025,male,Swiss,26.3526
Friesenberg,2025,male,foreign,24.0897
Friesenberg,2025,female,Swiss,28.9769
Friesenberg,2025,female,foreign,20.5808
Friesenberg,2026,male,Swiss,26.3872
Friesenberg,2026,male,foreign,24.0165
Friesenberg,2026,female,Swiss,28.9581
Friesenberg,2026,female,foreign,20.6382
Friesenberg,2027,male,Swiss,26.4217
Friesenberg,2027,male,foreign,23.9434
Friesenberg,2027,female,Swiss,28.9393
Friesenberg,2027,female,foreign,20.6956
Friesenberg,2028,male,Swiss,26.4563
Friesenberg,2028,male,foreign,23.8703
Friesenberg,2028,female,Swiss,28.9205
Friesenberg,2028,female,foreign,20.7529
Friesenberg,2029,male,Swiss,26.4908
Friesenberg,2029,male,foreign,23.7971
Friesenberg,2029,female,Swiss,28.9017
Friesenberg,2029,female,foreign,20.8103
Friesenberg,2030,male,Swiss,26.5254
Friesenberg,2030,male,foreign,23.724
Friesenberg,2030,female,Swiss,28.883
Friesenberg,2030,female,foreign,20.8677
Friesenberg,2031,male,Swiss,26.5599
Friesenberg,2031,male,foreign,23.6508
Friesenberg,2031,female,Swiss,28.8642
Friesenberg,2031,female,foreign,20.9251
Friesenberg,2032,male,Swiss,26.5945
Friesenberg,2032,male,foreign,23.5777
Friesenberg,2032,female,Swiss,28.8454
Friesenberg,2032,female,foreign,20.9825
Friesenberg,2033,male,Swiss,26.629
Friesenberg,2033,male,foreign,23.5046
Friesenberg,2033,female,Swiss,28.8266
