district,year,owner,indicator,apartments
Sihlfeld,2031,private housing,removed,0
Sihlfeld,2032,cooperative housing,new,0
Sihlfeld,2032,cooperative housing,removed,0
Sihlfeld,2032,private housing,new,0
Sihlfeld,2032,private housing,removed,0
Sihlfeld,2033,cooperative housing,new,0
Sihlfeld,2033,cooperative housing,removed,0
Sihlfeld,2033,private housing,new,0
Sihlfeld,2033,private housing,removed,0
Werd,2021,cooperative housing,new,23.838296564212165
Werd,2021,cooperative housing,removed,0
Werd,2021,private housing,new,79.46098854737389
Werd,2021,private housing,removed,0
Werd,2022,cooperative housing,new,0.16062117879816104
Werd,2022,cooperative housing,removed,0
Werd,2022,private housing,new,2.514271855614589
Werd,2022,private housing,removed,0
Werd,2023,cooperative housing,new,0.0010822569896727626
Werd,2023,cooperative housing,removed,0
Werd,2023,private housing,new,72.79847189383304
Werd,2023,private housing,removed,0
Werd,2024,cooperative housing,new,0
Werd,2024,cooperative housing,removed,0
Werd,2024,private housing,new,10.94653980895409
Werd,2024,private housing,removed,7.792207785473479
Werd,2025,cooperative housing,new,0
Werd,2025,cooperative housing,removed,0
Werd,2025,private housing,new,0.27314797109507255
Werd,2025,private housing,removed,0.2025282760230658
Werd,2026,cooperative housing,new,0
Werd,2026,cooperative housing,removed,0
Werd,2026,private housing,new,0.006579923129318663
Werd,2026,private housing,removed,0.00526393850345493
Werd,2027,cooperative housing,new,0
Werd,2027,cooperative housing,removed,0
Werd,2027,private housing,new,0
Werd,2027,private housing,removed,0
Werd,2028,cooperative housing,new,0
Werd,2028,cooperative housing,removed,0
Werd,2028,private housing,new,0
Werd,2028,private housing,removed,0
Werd,2029,cooperative housing,new,0
Werd,2029,cooperative housing,removed,0
Werd,2029,private housing,new,0
Werd,2029,private housing,removed,0
Werd,2030,cooperative housing,new,0
Werd,2030,cooperative housing,removed,0
Werd,2030,private housing,new,0
Werd,2030,private housing,removed,0
Werd,2031,cooperative housing,new,0
Werd,2031,cooperative housing,removed,0
Werd,2031,private housing,new,0
Werd,2031,private housing,removed,0
Werd,2032,cooperative housing,new,0
Werd,2032,cooperative housing,removed,0
Werd,2032,private housing,new,0
Werd,2032,private housing,removed,0
Werd,2033,cooperative housing,new,0
Werd,2033,cooperative housing,removed,0
Werd,2033,private housing,new,0
Werd,2033,private housing,removed,0
Langstrasse,2021,cooperative housing,new,0
Langstrasse,2021,cooperative housing,removed,0
Langstrasse,2021,private housing,new,56.61595434000389
Langstrasse,2021,private housing,removed,0
Langstrasse,2022,cooperative housing,new,0
Langstrasse,2022,cooperative housing,removed,0
Langstrasse,2022,private housing,new,12.254682857369946
Langstrasse,2022,private housing,removed,0
Langstrasse,2023,cooperative housing,new,0
Langstrasse,2023,cooperative housing,removed,0
Langstrasse,2023,private housing,new,0.12803697130485533
Langstrasse,2023,private housing,removed,0
Langstrasse,2024,cooperative housing,new,0
Langstrasse,2024,cooperative housing,removed,0
Langstrasse,2024,private housing,new,49.676650463714736
Langstrasse,2024,private housing,removed,14.610389597762774
Langstrasse,2025,cooperative housing,new,0
Langstrasse,2025,cooperative housing,removed,0
Langstrasse,2025,private housing,new,1.2911177596470447
Langstrasse,2025,private housing,removed,0.3797405175432484
Langstrasse,2026,cooperative housing,new,0
Langstrasse,2026,cooperative housing,removed,0
Langstrasse,2026,private housing,new,0.033557607959525185
Langstrasse,2026,private housing,removed,0.009869884693977994
Langstrasse,2027,cooperative housing,new,0
Langstrasse,2027,cooperative housing,removed,0
Langstrasse,2027,private housing,new,0
Langstrasse,2027,private housing,removed,0
Langstrasse,2028,cooperative housing,new,0
Langstrasse,2028,cooperative housing,removed,0
Langstrasse,2028,private housing,new,0
Langstrasse,2028,private housing,removed,0
Langstrasse,2029,cooperative housing,new,0
Langstrasse,2029,cooperative housing,removed,0
Langstrasse,2029,private housing,new,0
Langstrasse,2029,private housing,removed,0
Langstrasse,2030,cooperative housing,new,0
Langstrasse,2030,cooperative housing,removed,0
Langstrasse,2030,private housing,new,0
Langstrasse,2030,private housing,removed,0
Langstrasse,2031,cooperative housing,new,0
Langstrasse,2031,cooperative housing,removed,0
Langstrasse,2031,private housing,new,0
Langstrasse,2031,private housing,removed,0
Langstrasse,2032,cooperative housing,new,0
Langstrasse,2032,cooperative housing,removed,0
Langstrasse,2032,private housing,new,0
Langstrasse,2032,private housing,removed,0
Langstrasse,2033,cooperative housing,new,0
Langstrasse,2033,cooperative housing,removed,0
Langstrasse,2033,private housing,new,0
Langstrasse,2033,private housing,removed,0
Hard,2021,cooperative housing,new,45.69006841473998
Hard,2021,cooperative housing,removed,0
Hard,2021,private housing,new,33.770920132633904
Hard,2021,private housing,removed,0
Hard,2022,cooperative housing,new,0.30785725936314196
Hard,2022,cooperative housing,removed,0
Hard,2022,private housing,new,175.35735814639767
Hard,2022,private housing,removed,0
Hard,2023,cooperative housing,new,44.256505367679004
Hard,2023,cooperative housing,removed,22.618931421355313
Hard,2023,private housing,new,148.3835040473245
Hard,2023,private housing,removed,0
Hard,2024,cooperative housing,new,119.5645830492157
Hard,2024,cooperative housing,removed,78.29693406311564
Hard,2024,private housing,new,2.44797231845651
Hard,2024,private housing,removed,0
Hard,2025,cooperative housing,new,266.4293207687941
Hard,2025,cooperative housing,removed,271.4037124932962
Hard,2025,private housing,new,0.04024535518742969
Hard,2025,private housing,removed,0
Hard,2026,cooperative housing,new,175.13772087577328
Hard,2026,cooperative housing,removed,107.09894418604269
Hard,2026,private housing,new,0
Hard,2026,private housing,removed,0
Hard,2027,cooperative housing,new,10.942391304833256
Hard,2027,cooperative housing,removed,6.588877644423098
Hard,2027,private housing,new,0
Hard,2027,private housing,removed,0
Hard,2028,cooperative housing,new,0.6715529596015257
Hard,2028,cooperative housing,removed,0.3926001917670458
Hard,2028,private housing,new,0
Hard,2028,private housing,removed,0
Hard,2029,cooperative housing,new,0
Hard,2029,cooperative housing,removed,0
Hard,2029,private housing,new,0
Hard,2029,private housing,removed,0
Hard,2030,cooperative housing,new,0
Hard,2030,cooperative housing,removed,0
Hard,2030,private housing,new,0
Hard,2030,private housing,removed,0
Hard,2031,cooperative housing,new,0
Hard,2031,cooperative housing,removed,0
Hard,2031,private housing,new,0
Hard,2031,private housing,removed,0
Hard,2032,cooperative housing,new,0
Hard,2032,cooperative housing,removed,0
Hard,2032,private housing,new,0
Hard,2032,private housing,removed,0
Hard,2033,cooperative housing,new,0
Hard,2033,cooperative housing,removed,0
Hard,2033,private housing,new,0
Hard,2033,private housing,removed,0
Gewerbeschule,2021,cooperative housing,new,54.62942962631954
Gewerbeschule,2021,cooperative housing,removed,0
Gewerbeschule,2021,private housing,new,33.770920132633904
Gewerbeschule,2021,private housing,removed,0
Gewerbeschule,2022,cooperative housing,new,0.36809020141245236
Gewerbeschule,2022,cooperative housing,removed,0
Gewerbeschule,2022,private housing,new,0.22754666996406148
Gewerbeschule,2022,private housing,removed,0
Gewerbeschule,2023,cooperative housing,new,0.002480172268000081
Gewerbeschule,2023,cooperative housing,removed,0
Gewerbeschule,2023,private housing,new,29.504487225256792
Gewerbeschule,2023,private housing,removed,0
Gewerbeschule,2024,cooperative housing,new,0
Gewerbeschule,2024,cooperative housing,removed,0
Gewerbeschule,2024,private housing,new,0.48894288049676604
Gewerbeschule,2024,private housing,removed,0
Gewerbeschule,2025,cooperative housing,new,0
Gewerbeschule,2025,cooperative housing,removed,0
Gewerbeschule,2025,private housing,new,0.008103091648475778
Gewerbeschule,2025,private housing,removed,0
Gewerbeschule,2026,cooperative housing,new,126.40276254047377
Gewerbeschule,2026,cooperative housing,removed,0
Gewerbeschule,2026,private housing,new,252.80552508094755
Gewerbeschule,2026,private housing,removed,0
Gewerbeschule,2027,cooperative housing,new,8.080658259832743
Gewerbeschule,2027,cooperative housing,removed,0
Gewerbeschule,2027,private housing,new,16.161316519665487
Gewerbeschule,2027,private housing,removed,0
Gewerbeschule,2028,cooperative housing,new,0.5165791996934813
Gewerbeschule,2028,cooperative housing,removed,0
Gewerbeschule,2028,private housing,new,1.0331583993869626
Gewerbeschule,2028,private housing,removed,0
Gewerbeschule,2029,cooperative housing,new,0
Gewerbeschule,2029,cooperative housing,removed,0
Gewerbeschule,2029,private housing,new,0
Gewerbeschule,2029,private housing,removed,0
Gewerbeschule,2030,cooperative housing,new,0
Gewerbeschule,2030,cooperative housing,removed,0
Gewerbeschule,2030,private housing,new,0
Gewerbeschule,2030,private housing,removed,0
Gewerbeschule,2031,cooperative housing,new,0
Gewerbeschule,2031,cooperative housing,removed,0
Gewerbeschule,2031,private housing,new,0
Gewerbeschule,2031,private housing,removed,0
Gewerbeschule,2032,cooperative housing,new,0
Gewerbeschule,2032,cooperative housing,removed,0
Gewerbeschule,2032,private housing,new,0
Gewerbeschule,2032,private housing,removed,0
Gewerbeschule,2033,cooperative housing,new,0
Gewerbeschule,2033,cooperative housing,removed,0
Gewerbeschule,2033,private housing,new,0
Gewerbeschule,2033,private housing,removed,0
Escher Wyss,2021,cooperative housing,new,0
Escher Wyss,2021,cooperative housing,removed,0
Escher Wyss,2021,private housing,new,0
Escher Wyss,2021,private housing,removed,0
Escher Wyss,2022,cooperative housing,new,0
Escher Wyss,2022,cooperative housing,removed,0
Escher Wyss,2022,private housing,new,0
Escher Wyss,2022,private housing,removed,0
Escher Wyss,2023,cooperative housing,new,0
Escher Wyss,2023,cooperative housing,removed,0
Escher Wyss,2023,private housing,new,0
Escher Wyss,2023,private housing,removed,0
Escher Wyss,2024,cooperative housing,new,0
Escher Wyss,2024,cooperative housing,removed,0
Escher Wyss,2024,private housing,new,0
Escher Wyss,2024,private housing,removed,0
Escher Wyss,2025,cooperative housing,new,150.2268135292548
Escher Wyss,2025,cooperative housing,removed,0
Escher Wyss,2025,private housing,new,582.776431794523
Escher Wyss,2025,private housing,removed,7.770352423926973
Escher Wyss,2026,cooperative housing,new,183.08744357276316
Escher Wyss,2026,cooperative housing,removed,0
Escher Wyss,2026,private housing,new,23.75525178659439
Escher Wyss,2026,private housing,removed,0.31673669048792524
Escher Wyss,2027,cooperative housing,new,11.562532018411153
Escher Wyss,2027,cooperative housing,removed,0
Escher Wyss,2027,private housing,new,0.9683164188826752
Escher Wyss,2027,private housing,removed,0.012910885585102333
Escher Wyss,2028,cooperative housing,new,0.7232108795708738
Escher Wyss,2028,cooperative housing,removed,0
Escher Wyss,2028,private housing,new,0
Escher Wyss,2028,private housing,removed,0
Escher Wyss,2029,cooperative housing,new,0
Escher Wyss,2029,cooperative housing,removed,0
Escher Wyss,2029,private housing,new,0
Escher Wyss,2029,private housing,removed,0
Escher Wyss,2030,cooperative housing,new,0
Escher Wyss,2030,cooperative housing,removed,0
Escher Wyss,2030,private housing,new,0
Escher Wyss,2030,private housing,removed,0
Escher Wyss,2031,cooperative housing,new,0
Escher Wyss,2031,cooperative housing,removed,0
Escher Wyss,2031,private housing,new,0
Escher Wyss,2031,private housing,removed,0
Escher Wyss,2032,cooperative housing,new,0
Escher Wyss,2032,cooperative housing,removed,0
Escher Wyss,2032,private housing,new,0
Escher Wyss,2032,private housing,removed,0
Escher Wyss,2033,cooperative housing,new,0
Escher Wyss,2033,cooperative housing,removed,0
Escher Wyss,2033,private housing,new,0
Escher Wyss,2033,private housing,removed,0
Unterstrass,2021,cooperative housing,new,148.98935352632603
Unterstrass,2021,cooperative housing,removed,0
