district,year,origin,cha
Langstrasse,2040,Swiss,0
Langstrasse,2040,foreign,35.0884
Langstrasse,2041,Swiss,0
Langstrasse,2041,foreign,35.1532
Langstrasse,2042,Swiss,0
Langstrasse,2042,foreign,35.2179
Langstrasse,2043,Swiss,0
Langstrasse,2043,foreign,35.2827
Langstrasse,2044,Swiss,0
Langstrasse,2044,foreign,35.3475
Langstrasse,2045,Swiss,0
Langstrasse,2045,foreign,35.4123
Langstrasse,2046,Swiss,0
Langstrasse,2046,foreign,35.4771
Langstrasse,2047,Swiss,0
Langstrasse,2047,foreign,35.5419
Langstrasse,2048,Swiss,0
Langstrasse,2048,foreign,35.6067
Langstrasse,2049,Swiss,0
Langstrasse,2049,foreign,35.6715
Langstrasse,2050,Swiss,0
Langstrasse,2050,foreign,35.7363
Hard,2021,Swiss,0
Hard,2021,foreign,32.5072
Hard,2022,Swiss,0
Hard,2022,foreign,32.7727
Hard,2023,Swiss,0
Hard,2023,foreign,33.0382
Hard,2024,Swiss,0
Hard,2024,foreign,33.3038
Hard,2025,Swiss,0
Hard,2025,foreign,33.5693
Hard,2026,Swiss,0
Hard,2026,foreign,33.8348
Hard,2027,Swiss,0
Hard,2027,foreign,34.1004
Hard,2028,Swiss,0
Hard,2028,foreign,34.3659
Hard,2029,Swiss,0
Hard,2029,foreign,34.6314
Hard,2030,Swiss,0
Hard,2030,foreign,34.8969
Hard,2031,Swiss,0
Hard,2031,foreign,35.152
Hard,2032,Swiss,0
Hard,2032,foreign,35.3865
Hard,2033,Swiss,0
Hard,2033,foreign,35.6007
Hard,2034,Swiss,0
Hard,2034,foreign,35.7944
Hard,2035,Swiss,0
Hard,2035,foreign,35.9677
Hard,2036,Swiss,0
Hard,2036,foreign,36.1206
Hard,2037,Swiss,0
Hard,2037,foreign,36.2531
Hard,2038,Swiss,0
Hard,2038,foreign,36.3651
Hard,2039,Swiss,0
Hard,2039,foreign,36.4567
Hard,2040,Swiss,0
Hard,2040,foreign,36.5279
Hard,2041,Swiss,0
Hard,2041,foreign,36.5786
Hard,2042,Swiss,0
Hard,2042,foreign,36.6089
Hard,2043,Swiss,0
Hard,2043,foreign,36.6188
Hard,2044,Swiss,0
Hard,2044,foreign,36.6188
Hard,2045,Swiss,0
Hard,2045,foreign,36.6188
Hard,2046,Swiss,0
Hard,2046,foreign,36.6188
Hard,2047,Swiss,0
Hard,2047,foreign,36.6188
Hard,2048,Swiss,0
Hard,2048,foreign,36.6188
Hard,2049,Swiss,0
Hard,2049,foreign,36.6188
Hard,2050,Swiss,0
Hard,2050,foreign,36.6188
Gewerbeschule,2021,Swiss,0
Gewerbeschule,2021,foreign,38.4512
Gewerbeschule,2022,Swiss,0
Gewerbeschule,2022,foreign,38.5183
Gewerbeschule,2023,Swiss,0
Gewerbeschule,2023,foreign,38.5853
Gewerbeschule,2024,Swiss,0
Gewerbeschule,2024,foreign,38.6523
Gewerbeschule,2025,Swiss,0
Gewerbeschule,2025,foreign,38.7193
Gewerbeschule,2026,Swiss,0
Gewerbeschule,2026,foreign,38.7863
Gewerbeschule,2027,Swiss,0
Gewerbeschule,2027,foreign,38.8533
Gewerbeschule,2028,Swiss,0
Gewerbeschule,2028,foreign,38.9204
Gewerbeschule,2029,Swiss,0
Gewerbeschule,2029,foreign,38.9874
Gewerbeschule,2030,Swiss,0
Gewerbeschule,2030,foreign,39.0544
Gewerbeschule,2031,Swiss,0
Gewerbeschule,2031,foreign,39.1214
Gewerbeschule,2032,Swiss,0
Gewerbeschule,2032,foreign,39.1884
Gewerbeschule,2033,Swiss,0
Gewerbeschule,2033,foreign,39.2555
Gewerbeschule,2034,Swiss,0
Gewerbeschule,2034,foreign,39.3225
Gewerbeschule,2035,Swiss,0
Gewerbeschule,2035,foreign,39.3895
Gewerbeschule,2036,Swiss,0
Gewerbeschule,2036,foreign,39.4565
Gewerbeschule,2037,Swiss,0
Gewerbeschule,2037,foreign,39.5235
Gewerbeschule,2038,Swiss,0
Gewerbeschule,2038,foreign,39.5905
Gewerbeschule,2039,Swiss,0
Gewerbeschule,2039,foreign,39.6576
Gewerbeschule,2040,Swiss,0
Gewerbeschule,2040,foreign,39.7246
Gewerbeschule,2041,Swiss,0
Gewerbeschule,2041,foreign,39.7916
Gewerbeschule,2042,Swiss,0
Gewerbeschule,2042,foreign,39.8586
Gewerbeschule,2043,Swiss,0
Gewerbeschule,2043,foreign,39.9256
Gewerbeschule,2044,Swiss,0
Gewerbeschule,2044,foreign,39.9926
Gewerbeschule,2045,Swiss,0
Gewerbeschule,2045,foreign,40.0597
Gewerbeschule,2046,Swiss,0
Gewerbeschule,2046,foreign,40.1267
Gewerbeschule,2047,Swiss,0
Gewerbeschule,2047,foreign,40.1937
Gewerbeschule,2048,Swiss,0
Gewerbeschule,2048,foreign,40.2607
Gewerbeschule,2049,Swiss,0
Gewerbeschule,2049,foreign,40.3277
Gewerbeschule,2050,Swiss,0
Gewerbeschule,2050,foreign,40.3948
Escher Wyss,2021,Swiss,0
Escher Wyss,2021,foreign,34.7758
Escher Wyss,2022,Swiss,0
Escher Wyss,2022,foreign,34.3345
Escher Wyss,2023,Swiss,0
Escher Wyss,2023,foreign,33.8933
Escher Wyss,2024,Swiss,0
Escher Wyss,2024,foreign,33.4521
Escher Wyss,2025,Swiss,0
Escher Wyss,2025,foreign,33.0189
Escher Wyss,2026,Swiss,0
Escher Wyss,2026,foreign,32.6197
Escher Wyss,2027,Swiss,0
Escher Wyss,2027,foreign,32.2544
Escher Wyss,2028,Swiss,0
Escher Wyss,2028,foreign,31.923
Escher Wyss,2029,Swiss,0
Escher Wyss,2029,foreign,31.6255
Escher Wyss,2030,Swiss,0
Escher Wyss,2030,foreign,31.362
Escher Wyss,2031,Swiss,0
Escher Wyss,2031,foreign,31.1325
Escher Wyss,2032,Swiss,0
Escher Wyss,2032,foreign,30.9369
Escher Wyss,2033,Swiss,0
Escher Wyss,2033,foreign,30.7752
Escher Wyss,2034,Swiss,0
Escher Wyss,2034,foreign,30.6475
Escher Wyss,2035,Swiss,0
Escher Wyss,2035,foreign,30.5537
Escher Wyss,2036,Swiss,0
Escher Wyss,2036,foreign,30.4938
Escher Wyss,2037,Swiss,0
Escher Wyss,2037,foreign,30.4679
Escher Wyss,2038,Swiss,0
Escher Wyss,2038,foreign,30.4679
Escher Wyss,2039,Swiss,0
Escher Wyss,2039,foreign,30.4679
Escher Wyss,2040,Swiss,0
Escher Wyss,2040,foreign,30.4679
Escher Wyss,2041,Swiss,0
Escher Wyss,2041,foreign,30.4679
Escher Wyss,2042,Swiss,0
Escher Wyss,2042,foreign,30.4679
Escher Wyss,2043,Swiss,0
Escher Wyss,2043,foreign,30.4679
Escher Wyss,2044,Swiss,0
Escher Wyss,2044,foreign,30.4679
Escher Wyss,2045,Swiss,0
Escher Wyss,2045,foreign,30.4679
Escher Wyss,2046,Swiss,0
Escher Wyss,2046,foreign,30.4679
Escher Wyss,2047,Swiss,0
Escher Wyss,2047,foreign,30.4679
Escher Wyss,2048,Swiss,0
Escher Wyss,2048,foreign,30.4679
Escher Wyss,2049,Swiss,0
Escher Wyss,2049,foreign,30.4679
Escher Wyss,2050,Swiss,0
Escher Wyss,2050,foreign,30.4679
Unterstrass,2021,Swiss,0
Unterstrass,2021,foreign,30.5751
Unterstrass,2022,Swiss,0
Unterstrass,2022,foreign,30.3297
Unterstrass,2023,Swiss,0
Unterstrass,2023,foreign,30.0844
Unterstrass,2024,Swiss,0
Unterstrass,2024,foreign,29.839
Unterstrass,2025,Swiss,0
Unterstrass,2025,foreign,29.5937
Unterstrass,2026,Swiss,0
Unterstrass,2026,foreign,29.3483
Unterstrass,2027,Swiss,0
Unterstrass,2027,foreign,29.103
Unterstrass,2028,Swiss,0
Unterstrass,2028,foreign,28.8576
Unterstrass,2029,Swiss,0
Unterstrass,2029,foreign,28.6123
Unterstrass,2030,Swiss,0
Unterstrass,2030,foreign,28.3669
Unterstrass,2031,Swiss,0
Unterstrass,2031,foreign,28.1216
Unterstrass,2032,Swiss,0
Unterstrass,2032,foreign,27.8762
Unterstrass,2033,Swiss,0
Unterstrass,2033,foreign,27.6309
Unterstrass,2034,Swiss,0
Unterstrass,2034,foreign,27.387
Unterstrass,2035,Swiss,0
Unterstrass,2035,foreign,27.1619
Unterstrass,2036,Swiss,0
Unterstrass,2036,foreign,26.9558
Unterstrass,2037,Swiss,0
Unterstrass,2037,foreign,26.7685
Unterstrass,2038,Swiss,0
Unterstrass,2038,foreign,26.6001
Unterstrass,2039,Swiss,0
Unterstrass,2039,foreign,26.4505
Unterstrass,2040,Swiss,0
