district,year,pop
Sihlfeld,2014,21195
Sihlfeld,2015,21339
Sihlfeld,2016,21177
Sihlfeld,2017,21660
Sihlfeld,2018,21680
Sihlfeld,2019,22141
Sihlfeld,2020,21921
Sihlfeld,2021,22105.874618927977
Sihlfeld,2022,22201.017188986338
Sihlfeld,2023,22333.9900289561
Sihlfeld,2024,22461.74563409643
Sihlfeld,2025,22584.496329331236
Sihlfeld,2026,23488.225943118836
Sihlfeld,2027,23615.80891980074
Sihlfeld,2028,23690.90535491514
Sihlfeld,2029,23759.76970953858
Sihlfeld,2030,23825.893151172844
Sihlfeld,2031,23889.363661330008
Sihlfeld,2032,23950.27278859282
Sihlfeld,2033,24008.764885534318
Sihlfeld,2034,24064.92843253909
Sihlfeld,2035,24118.816261658136
Sihlfeld,2036,24170.55673041601
Sihlfeld,2037,24220.221771577875
Sihlfeld,2038,24267.880032449997
Sihlfeld,2039,24313.624803809387
Sihlfeld,2040,24357.54390398489
Sihlfeld,2041,24399.673306267046
Sihlfeld,2042,24440.12272109565
Sihlfeld,2043,24478.944369450932
Sihlfeld,2044,24516.15476851892
Sihlfeld,2045,24551.882980683095
Sihlfeld,2046,24586.180922512904
Sihlfeld,2047,24619.08443578293
Sihlfeld,2048,24650.628958228048
Sihlfeld,2049,24680.905494170052
Sihlfeld,2050,24709.949465024016
Werd,2008,4015
Werd,2009,4104
Werd,2010,4167
Werd,2011,4189
Werd,2012,4195
Werd,2013,4188
Werd,2014,4428
Werd,2015,4460
Werd,2016,4594
Werd,2017,4574
Werd,2018,4455
Werd,2019,4455
Werd,2020,4570
Werd,2021,4765.262665597003
Werd,2022,4770.130660010269
Werd,2023,4900.80631003813
Werd,2024,4906.468651453479
Werd,2025,4906.595420868103
Werd,2026,4906.5977831921045
Werd,2027,4906.5977831921045
Werd,2028,4906.5977831921045
Werd,2029,4906.5977831921045
Werd,2030,4906.5977831921045
Werd,2031,4906.5977831921045
Werd,2032,4906.5977831921045
Werd,2033,4906.5977831921045
Werd,2034,4906.5977831921045
Werd,2035,4906.5977831921045
Werd,2036,4906.5977831921045
Werd,2037,4906.5977831921045
Werd,2038,4907.680091800206
Werd,2039,4926.033724159792
Werd,2040,4943.679118498374
Werd,2041,4960.644048964959
Werd,2042,4976.9551467140755
Werd,2043,4994.299703100259
Werd,2044,5011.613517327223
Werd,2045,5028.242183328983
Werd,2046,5044.212679901148
Werd,2047,5059.550719830985
Werd,2048,5074.280847993064
Werd,2049,5088.426748548674
Werd,2050,5102.011426176953
Langstrasse,2008,10455
Langstrasse,2009,10392
Langstrasse,2010,10379
Langstrasse,2011,10520
Langstrasse,2012,10560
Langstrasse,2013,10686
Langstrasse,2014,10985
Langstrasse,2015,11169
Langstrasse,2016,11145
Langstrasse,2017,11144
Langstrasse,2018,11111.000000000002
Langstrasse,2019,11853
Langstrasse,2020,11910
