year,age,sex,mor
2024,63,female,0.4897
2024,64,male,0.8652
2024,64,female,0.5364
2024,65,male,0.9506
2024,65,female,0.5886
2024,66,male,1.0448
2024,66,female,0.6461
2024,67,male,1.1498
2024,67,female,0.71
2024,68,male,1.2655
2024,68,female,0.7807
2024,69,male,1.396
2024,69,female,0.8598
2024,70,male,1.5414
2024,70,female,0.9487
2024,71,male,1.7053
2024,71,female,1.0491
2024,72,male,1.8878
2024,72,female,1.1623000000000001
2024,73,male,2.0945
2024,73,female,1.2906
2024,74,male,2.3232
2024,74,female,1.4348
2024,75,male,2.5823
2024,75,female,1.5998000000000001
2024,76,male,2.8712
2024,76,female,1.7869
2024,77,male,3.1944
2024,77,female,2.0001
2024,78,male,3.5561
2024,78,female,2.2434
2024,79,male,3.956
2024,79,female,2.5221
2024,80,male,4.4089
2024,80,female,2.8387
2024,81,male,4.9127
2024,81,female,3.2028
2024,82,male,5.4731
2024,82,female,3.6199
2024,83,male,6.1023
2024,83,female,4.0993
2024,84,male,6.8039
2024,84,female,4.6497
2024,85,male,7.5866
2024,85,female,5.2888
2024,86,male,8.4623
2024,86,female,6.0288
2024,87,male,9.4483
2024,87,female,6.8867
2024,88,male,10.5631
2024,88,female,7.8871
2024,89,male,11.8204
2024,89,female,9.0481
2024,90,male,13.2513
2024,90,female,10.4037
2024,91,male,14.879
2024,91,female,11.9902
2024,92,male,16.7441
2024,92,female,13.8419
2024,93,male,18.8714
2024,93,female,16.0053
2024,94,male,21.293
2024,94,female,18.5293
2024,95,male,24.0839
2024,95,female,21.4983
2024,96,male,27.2915
2024,96,female,24.9269
2024,97,male,30.96
2024,97,female,28.9095
2024,98,male,35.1499
2024,98,female,33.5389
2024,99,male,40.2828
2024,99,female,38.4071
2024,100,male,46.158
2024,100,female,43.8101
2024,101,male,52.6941
2024,101,female,49.7825
2024,102,male,60.1815
2024,102,female,56.2472
2024,103,male,67.1018
2024,103,female,63.6853
2024,104,male,75.5271
2024,104,female,70.3319
2024,105,male,79.7672
2024,105,female,76.2637
2024,106,male,88.9483
2024,106,female,83.7744
2024,107,male,100
2024,107,female,100
2024,108,male,100
2024,108,female,100
2024,109,male,100
2024,109,female,100
2024,110,male,100
2024,110,female,100
2024,111,male,100
2024,111,female,100
2024,112,male,100
2024,112,female,100
2024,113,male,100
2024,113,female,100
2024,114,male,100
2024,114,female,100
2024,115,male,100
2024,115,female,100
2024,116,male,100
2024,116,female,100
2024,117,male,100
2024,117,female,100
2024,118,male,100
2024,118,female,100
2024,119,male,100
2024,119,female,100
2024,120,male,100
2024,120,female,100
2025,0,male,0.3958
2025,0,female,0.4446
2025,1,male,0.0466
2025,1,female,0.0451
2025,2,male,0.0244
2025,2,female,0.02
2025,3,male,0.018
2025,3,female,0.0135
2025,4,male,0.0136
2025,4,female,0.0101
2025,5,male,0.0103
2025,5,female,0.0082
2025,6,male,0.0079
2025,6,female,0.0074
2025,7,male,0.0062
2025,7,female,0.0073
2025,8,male,0.0051
2025,8,female,0.0073
2025,9,male,0.0045
2025,9,female,0.0077
2025,10,male,0.0044
2025,10,female,0.0083
2025,11,male,0.0045
2025,11,female,0.0087
2025,12,male,0.0048
2025,12,female,0.0089
2025,13,male,0.0056
2025,13,female,0.0091
2025,14,male,0.0073
2025,14,female,0.0094
2025,15,male,0.0111
2025,15,female,0.0109
2025,16,male,0.0181
2025,16,female,0.0135
2025,17,male,0.0285
2025,17,female,0.0176
2025,18,male,0.042
2025,18,female,0.0226
2025,19,male,0.0558
2025,19,female,0.0275
2025,20,male,0.0637
2025,20,female,0.03
2025,21,male,0.0647
2025,21,female,0.0299
2025,22,male,0.0609
2025,22,female,0.0282
2025,23,male,0.0556
2025,23,female,0.0262
2025,24,male,0.0512
2025,24,female,0.0247
2025,25,male,0.048
2025,25,female,0.0237
2025,26,male,0.0454
2025,26,female,0.0231
2025,27,male,0.0437
2025,27,female,0.0228
2025,28,male,0.0427
2025,28,female,0.023
2025,29,male,0.0425
2025,29,female,0.0236
2025,30,male,0.0427
2025,30,female,0.0244
2025,31,male,0.0435
2025,31,female,0.0254
2025,32,male,0.0449
2025,32,female,0.0269
2025,33,male,0.0469
2025,33,female,0.0286
2025,34,male,0.0492
2025,34,female,0.0304
2025,35,male,0.0522
2025,35,female,0.0326
2025,36,male,0.0558
2025,36,female,0.0352
2025,37,male,0.0601
2025,37,female,0.0381
2025,38,male,0.0653
2025,38,female,0.0414
2025,39,male,0.0715
2025,39,female,0.0455
2025,40,male,0.0789
2025,40,female,0.0502
2025,41,male,0.0876
2025,41,female,0.0558
2025,42,male,0.0977
2025,42,female,0.0623
2025,43,male,0.1094
2025,43,female,0.0696
2025,44,male,0.1225
2025,44,female,0.0778
2025,45,male,0.1371
2025,45,female,0.0871
2025,46,male,0.1532
2025,46,female,0.097
2025,47,male,0.1706
2025,47,female,0.1076
2025,48,male,0.1893
2025,48,female,0.119
2025,49,male,0.2093
2025,49,female,0.1311
2025,50,male,0.2308
2025,50,female,0.1442
2025,51,male,0.2539
2025,51,female,0.1582
2025,52,male,0.279
2025,52,female,0.1733
2025,53,male,0.30620000000000003
2025,53,female,0.1898
2025,54,male,0.336
2025,54,female,0.2082
2025,55,male,0.3683
2025,55,female,0.2281
2025,56,male,0.404
2025,56,female,0.2505
2025,57,male,0.4434
2025,57,female,0.275
2025,58,male,0.4867
2025,58,female,0.302
2025,59,male,0.5342
2025,59,female,0.3321
2025,60,male,0.5866
2025,60,female,0.3646
2025,61,male,0.6436
2025,61,female,0.4002
2025,62,male,0.7058
2025,62,female,0.4388
2025,63,male,0.7742
2025,63,female,0.4805
2025,64,male,0.8497
2025,64,female,0.527
2025,65,male,0.9327
2025,65,female,0.5778
2025,66,male,1.0255
2025,66,female,0.6344
2025,67,male,1.1282
2025,67,female,0.6971
2025,68,male,1.243
2025,68,female,0.7669
2025,69,male,1.3699
2025,69,female,0.8445
2025,70,male,1.5131
2025,70,female,0.9318
2025,71,male,1.6728
2025,71,female,1.0302
2025,72,male,1.8528
2025,72,female,1.1414
2025,73,male,2.0536
2025,73,female,1.2671
2025,74,male,2.2807
2025,74,female,1.4099
2025,75,male,2.532
2025,75,female,1.5709
2025,76,male,2.8165
2025,76,female,1.7553
2025,77,male,3.1335
2025,77,female,1.9647
2025,78,male,3.488
2025,78,female,2.2037
2025,79,male,3.8844
2025,79,female,2.477
2025,80,male,4.3226
2025,80,female,2.7904
2025,81,male,4.8188
2025,81,female,3.1473
2025,82,male,5.3712
2025,82,female,3.5582
2025,83,male,5.9856
2025,83,female,4.0298
2025,84,male,6.6763
2025,84,female,4.5729
2025,85,male,7.4469
2025,85,female,5.1976
2025,86,male,8.3092
2025,86,female,5.9243
2025,87,male,9.2764
2025,87,female,6.7678
2025,88,male,10.369
2025,88,female,7.7475
2025,89,male,11.6065
2025,89,female,8.8937
2025,90,male,13.009
2025,90,female,10.2255
2025,91,male,14.6092
2025,91,female,11.7826
2025,92,male,16.4329
2025,92,female,13.6082
2025,93,male,18.532
2025,93,female,15.7405
2025,94,male,20.9248
2025,94,female,18.2302
2025,95,male,23.6536
2025,95,female,21.1339
2025,96,male,26.8026
2025,96,female,24.5431
2025,97,male,30.4158
2025,97,female,28.4666
