district,year,owner,aca_dyw
Fluntern,2044,cooperative housing,2.2465
Fluntern,2044,private housing,1.9594
Fluntern,2045,cooperative housing,2.2482
Fluntern,2045,private housing,1.9607
Fluntern,2046,cooperative housing,2.2499
Fluntern,2046,private housing,1.962
Fluntern,2047,cooperative housing,2.2516
Fluntern,2047,private housing,1.9633
Fluntern,2048,cooperative housing,2.2533
Fluntern,2048,private housing,1.9646
Fluntern,2049,cooperative housing,2.2549
Fluntern,2049,private housing,1.9659
Fluntern,2050,cooperative housing,2.2566
Fluntern,2050,private housing,1.9672
Hottingen,2021,cooperative housing,2.2078
Hottingen,2021,private housing,1.8059
Hottingen,2022,cooperative housing,2.2094
Hottingen,2022,private housing,1.8091
Hottingen,2023,cooperative housing,2.2111
Hottingen,2023,private housing,1.8123
Hottingen,2024,cooperative housing,2.2128
Hottingen,2024,private housing,1.8156
Hottingen,2025,cooperative housing,2.2145
Hottingen,2025,private housing,1.8188
Hottingen,2026,cooperative housing,2.2162
Hottingen,2026,private housing,1.8221
Hottingen,2027,cooperative housing,2.2179
Hottingen,2027,private housing,1.8253
Hottingen,2028,cooperative housing,2.2196
Hottingen,2028,private housing,1.8285
Hottingen,2029,cooperative housing,2.2212
Hottingen,2029,private housing,1.8318
Hottingen,2030,cooperative housing,2.2229
Hottingen,2030,private housing,1.835
Hottingen,2031,cooperative housing,2.2246
Hottingen,2031,private housing,1.8383
Hottingen,2032,cooperative housing,2.2263
Hottingen,2032,private housing,1.8415
Hottingen,2033,cooperative housing,2.228
Hottingen,2033,private housing,1.8447
Hottingen,2034,cooperative housing,2.2297
Hottingen,2034,private housing,1.848
Hottingen,2035,cooperative housing,2.2314
Hottingen,2035,private housing,1.8512
Hottingen,2036,cooperative housing,2.233
Hottingen,2036,private housing,1.8545
Hottingen,2037,cooperative housing,2.2347
Hottingen,2037,private housing,1.8577
Hottingen,2038,cooperative housing,2.2364
Hottingen,2038,private housing,1.8609
Hottingen,2039,cooperative housing,2.2381
Hottingen,2039,private housing,1.8642
Hottingen,2040,cooperative housing,2.2398
Hottingen,2040,private housing,1.8674
Hottingen,2041,cooperative housing,2.2415
Hottingen,2041,private housing,1.8706
Hottingen,2042,cooperative housing,2.2431
Hottingen,2042,private housing,1.8739
Hottingen,2043,cooperative housing,2.2448
Hottingen,2043,private housing,1.8771
Hottingen,2044,cooperative housing,2.2465
Hottingen,2044,private housing,1.8804
Hottingen,2045,cooperative housing,2.2482
Hottingen,2045,private housing,1.8836
Hottingen,2046,cooperative housing,2.2499
Hottingen,2046,private housing,1.8868
Hottingen,2047,cooperative housing,2.2516
Hottingen,2047,private housing,1.8901
Hottingen,2048,cooperative housing,2.2533
Hottingen,2048,private housing,1.8933
Hottingen,2049,cooperative housing,2.2549
Hottingen,2049,private housing,1.8966
Hottingen,2050,cooperative housing,2.2566
Hottingen,2050,private housing,1.8998
Hirslanden,2021,cooperative housing,2.2078
Hirslanden,2021,private housing,1.7544
Hirslanden,2022,cooperative housing,2.2094
Hirslanden,2022,private housing,1.7555
Hirslanden,2023,cooperative housing,2.2111
Hirslanden,2023,private housing,1.7565
Hirslanden,2024,cooperative housing,2.2128
Hirslanden,2024,private housing,1.7576
Hirslanden,2025,cooperative housing,2.2145
Hirslanden,2025,private housing,1.7586
Hirslanden,2026,cooperative housing,2.2162
Hirslanden,2026,private housing,1.7597
Hirslanden,2027,cooperative housing,2.2179
Hirslanden,2027,private housing,1.7607
Hirslanden,2028,cooperative housing,2.2196
Hirslanden,2028,private housing,1.7618
Hirslanden,2029,cooperative housing,2.2212
Hirslanden,2029,private housing,1.7628
Hirslanden,2030,cooperative housing,2.2229
Hirslanden,2030,private housing,1.7639
Hirslanden,2031,cooperative housing,2.2246
Hirslanden,2031,private housing,1.7649
Hirslanden,2032,cooperative housing,2.2263
Hirslanden,2032,private housing,1.766
Hirslanden,2033,cooperative housing,2.228
Hirslanden,2033,private housing,1.767
Hirslanden,2034,cooperative housing,2.2297
Hirslanden,2034,private housing,1.7681
Hirslanden,2035,cooperative housing,2.2314
Hirslanden,2035,private housing,1.7692
Hirslanden,2036,cooperative housing,2.233
Hirslanden,2036,private housing,1.7702
Hirslanden,2037,cooperative housing,2.2347
Hirslanden,2037,private housing,1.7713
Hirslanden,2038,cooperative housing,2.2364
Hirslanden,2038,private housing,1.7723
Hirslanden,2039,cooperative housing,2.2381
Hirslanden,2039,private housing,1.7734
Hirslanden,2040,cooperative housing,2.2398
Hirslanden,2040,private housing,1.7744
Hirslanden,2041,cooperative housing,2.2415
Hirslanden,2041,private housing,1.7755
Hirslanden,2042,cooperative housing,2.2431
Hirslanden,2042,private housing,1.7765
Hirslanden,2043,cooperative housing,2.2448
Hirslanden,2043,private housing,1.7776
Hirslanden,2044,cooperative housing,2.2465
Hirslanden,2044,private housing,1.7786
Hirslanden,2045,cooperative housing,2.2482
Hirslanden,2045,private housing,1.7797
Hirslanden,2046,cooperative housing,2.2499
Hirslanden,2046,private housing,1.7807
Hirslanden,2047,cooperative housing,2.2516
Hirslanden,2047,private housing,1.7818
Hirslanden,2048,cooperative housing,2.2533
Hirslanden,2048,private housing,1.7829
Hirslanden,2049,cooperative housing,2.2549
Hirslanden,2049,private housing,1.7839
Hirslanden,2050,cooperative housing,2.2566
Hirslanden,2050,private housing,1.785
Witikon,2021,cooperative housing,2.2078
Witikon,2021,private housing,1.8086
Witikon,2022,cooperative housing,2.2094
Witikon,2022,private housing,1.8097
Witikon,2023,cooperative housing,2.2111
Witikon,2023,private housing,1.8108
Witikon,2024,cooperative housing,2.2128
Witikon,2024,private housing,1.8119
Witikon,2025,cooperative housing,2.2145
Witikon,2025,private housing,1.813
Witikon,2026,cooperative housing,2.2162
Witikon,2026,private housing,1.8141
Witikon,2027,cooperative housing,2.2179
Witikon,2027,private housing,1.8152
Witikon,2028,cooperative housing,2.2196
Witikon,2028,private housing,1.8163
Witikon,2029,cooperative housing,2.2212
Witikon,2029,private housing,1.8174
Witikon,2030,cooperative housing,2.2229
Witikon,2030,private housing,1.8185
Witikon,2031,cooperative housing,2.2246
Witikon,2031,private housing,1.8196
Witikon,2032,cooperative housing,2.2263
Witikon,2032,private housing,1.8207
Witikon,2033,cooperative housing,2.228
Witikon,2033,private housing,1.8219
Witikon,2034,cooperative housing,2.2297
Witikon,2034,private housing,1.823
Witikon,2035,cooperative housing,2.2314
