PublJahr,ArealCd,WohnanteilCd,QuarCd,QuarLang,EigentumGrundstkCd,Kapazitaet,Bestand,Reserve,Inanspruchnahme
2017,1,1,021,Wollishofen,2,721951,580492,141459,78580
2017,1,1,023,Leimbach,1,183008,147683,35325,22008
2017,1,1,023,Leimbach,2,173107,118122,54985,22271
2017,1,1,024,Enge,1,57620,36045,21576,8022
2017,1,1,024,Enge,2,642323,506537,135786,45544
2017,1,1,031,Alt-Wiedikon,1,108709,69080,39629,10624
2017,1,1,031,Alt-Wiedikon,2,905512,733500,172012,40396
2017,1,1,033,Friesenberg,1,392823,285281,107542,35720
2017,1,1,033,Friesenberg,2,149475,121971,27504,13677
2017,1,1,034,Sihlfeld,1,374577,265631,108946,47219
2017,1,1,034,Sihlfeld,2,843098,644468,198629,51036
2017,1,1,041,Werd,1,47465,29390,18075,1206
2017,1,1,041,Werd,2,229881,170442,59440,15223
2017,1,1,042,Langstrasse,1,96368,74262,22106,1573
2017,1,1,042,Langstrasse,2,575595,421364,154231,41060
2017,1,1,044,Hard,1,395516,244783,150733,46308
2017,1,1,044,Hard,2,416358,291979,124379,25383
2017,1,1,051,Gewerbeschule,1,228228,130343,97885,9232
2017,1,1,051,Gewerbeschule,2,356092,312853,43239,8550
2017,1,1,052,Escher Wyss,1,56639,18944,37694,19612
2017,1,1,052,Escher Wyss,2,393189,245035,148154,76783
2017,1,1,061,Unterstrass,1,482095,317986,164109,86804
2017,1,1,061,Unterstrass,2,911136,707297,203838,90008
2017,1,1,063,Oberstrass,1,118746,89546,29200,13152
2017,1,1,063,Oberstrass,2,502831,495780,7051,10008
2017,1,1,071,Fluntern,1,55228,29279,25949,14865
2017,1,1,071,Fluntern,2,622550,532035,90515,55415
2017,1,1,072,Hottingen,1,64993,31413,33580,10262
2017,1,1,072,Hottingen,2,805906,636376,169530,47510
2017,1,1,073,Hirslanden,1,57370,49267,8103,2825
2017,1,1,073,Hirslanden,2,451943,359959,91984,30145
2017,1,1,074,Witikon,1,57489,39369,18120,15528
2017,1,1,074,Witikon,2,693478,569974,123505,103053
2017,1,1,081,Seefeld,1,38220,11219,27000,17875
2017,1,1,081,Seefeld,2,372780,293494,79286,18242
2017,1,1,082,Mühlebach,1,48792,31496,17296,3176
2017,1,1,082,Mühlebach,2,468861,312680,156180,23705
2017,1,1,083,Weinegg,1,60690,32702,27989,10632
2017,1,1,083,Weinegg,2,317953,244072,73881,33983
2017,1,1,091,Albisrieden,1,509267,341968,167299,98276
2017,1,1,091,Albisrieden,2,754103,658586,95517,54695
2017,1,1,092,Altstetten,1,577208,388888,188320,98531
2017,1,1,092,Altstetten,2,1216078,1014330,201747,112596
2017,1,1,101,Höngg,1,333592,235201,98391,62018
2017,1,1,101,Höngg,2,974274,958393,15880,52990
2017,1,1,102,Wipkingen,1,288931,186328,102603,45882
2017,1,1,102,Wipkingen,2,607751,541290,66461,18847
2017,1,1,111,Affoltern,1,556998,390160,166839,96216
2017,1,1,111,Affoltern,2,833499,760806,72693,83506
2017,1,1,115,Oerlikon,1,245347,150081,95267,22319
2017,1,1,115,Oerlikon,2,1136248,895535,240714,115378
2017,1,1,119,Seebach,1,552247,277409,274838,150474
2017,1,1,119,Seebach,2,1042093,801405,240688,131788
2017,1,1,121,Saatlen,1,436403,240219,196184,127167
2017,1,1,121,Saatlen,2,105538,74965,30573,14485
2017,1,1,122,Schwamendingen-Mitte,1,267124,161517,105607,63384
2017,1,1,122,Schwamendingen-Mitte,2,396519,303829,92690,38905
2017,1,1,123,Hirzenbach,1,513029,236354,276675,164375
2017,1,1,123,Hirzenbach,2,352667,232392,120275,63705
2017,1,2,010,Kreis 1,1,114834,94698,20136,2838
2017,1,2,010,Kreis 1,2,263963,256417,7545,834
2017,1,2,021,Wollishofen,1,464776,248887,215889,104296
2017,1,2,021,Wollishofen,2,947809,580805,367004,171962
2017,1,2,023,Leimbach,1,235713,147683,88031,36920
2017,1,2,023,Leimbach,2,212589,118517,94072,35781
2017,1,2,024,Enge,1,77796,36045,41752,14646
2017,1,2,024,Enge,2,758203,506633,251570,80540
2017,1,2,031,Alt-Wiedikon,1,131177,69080,62097,16322
2017,1,2,031,Alt-Wiedikon,2,1135800,733500,402299,82902
2017,1,2,033,Friesenberg,1,479685,287869,191816,57364
2017,1,2,033,Friesenberg,2,191373,121971,69402,25191
2017,1,2,034,Sihlfeld,1,424966,265631,159334,62122
2017,1,2,034,Sihlfeld,2,984418,646464,337954,76349
2017,1,2,041,Werd,1,68926,29390,39536,3349
2017,1,2,041,Werd,2,297482,170442,127040,24114
2017,1,2,042,Langstrasse,1,116814,74262,42552,4028
2017,1,2,042,Langstrasse,2,754945,425324,329621,83388
2017,1,2,044,Hard,1,430023,244783,185240,55088
2017,1,2,044,Hard,2,466494,292153,174341,39621
2017,1,2,051,Gewerbeschule,1,266487,130343,136144,13037
2017,1,2,051,Gewerbeschule,2,445760,312853,132908,21836
2017,1,2,052,Escher Wyss,1,116734,18944,97790,52401
2017,1,2,052,Escher Wyss,2,590995,264206,326789,132657
2017,1,2,061,Unterstrass,1,579648,319958,259690,127532
2017,1,2,061,Unterstrass,2,1124693,707297,417396,148658
2017,1,2,063,Oberstrass,1,143462,89546,53917,21591
2017,1,2,063,Oberstrass,2,606031,495922,110110,39283
2017,1,2,071,Fluntern,1,69191,30096,39095,19953
2017,1,2,071,Fluntern,2,765977,532680,233297,98900
2017,1,2,072,Hottingen,1,80436,31413,49023,16175
2017,1,2,072,Hottingen,2,929965,636527,293438,79584
2017,1,2,073,Hirslanden,1,71613,49267,22346,7614
2017,1,2,073,Hirslanden,2,545420,359959,185461,58096
2017,1,2,074,Witikon,1,77636,39369,38267,29450
2017,1,2,074,Witikon,2,877091,571657,305435,218785
2017,1,2,081,Seefeld,1,48136,11219,36917,23466
2017,1,2,081,Seefeld,2,421023,293494,127530,27178
2017,1,2,082,Mühlebach,1,59663,31496,28167,5272
2017,1,2,082,Mühlebach,2,559209,312680,246528,37772
2017,1,2,083,Weinegg,1,88136,32702,55434,21106
2017,1,2,083,Weinegg,2,405408,245976,159432,60345
2017,1,2,091,Albisrieden,1,599559,342342,257218,136765
2017,1,2,091,Albisrieden,2,911252,680777,230475,92368
2017,1,2,092,Altstetten,1,686797,388888,297909,142471
2017,1,2,092,Altstetten,2,1615316,1024763,590553,229689
2017,1,2,101,Höngg,1,403734,240726,163008,81438
2017,1,2,101,Höngg,2,1218316,960160,258156,116782
2017,1,2,102,Wipkingen,1,341584,189243,152341,63015
2017,1,2,102,Wipkingen,2,709813,543088,166725,46475
2017,1,2,111,Affoltern,1,677421,390658,286763,136308
2017,1,2,111,Affoltern,2,1052018,761422,290596,143843
2017,1,2,115,Oerlikon,1,358818,150081,208737,54272
2017,1,2,115,Oerlikon,2,1435459,895834,539625,203106
2017,1,2,119,Seebach,1,733734,277409,456325,233729
2017,1,2,119,Seebach,2,1382239,801665,580574,233582
2017,1,2,121,Saatlen,1,527877,240219,287658,174159
2017,1,2,121,Saatlen,2,140833,74965,65868,29796
2017,1,2,122,Schwamendingen-Mitte,1,319535,162375,157160,91593
2017,1,2,122,Schwamendingen-Mitte,2,490440,303829,186610,77549
2017,1,2,123,Hirzenbach,1,596890,239443,357447,203868
2017,1,2,123,Hirzenbach,2,419506,232392,187114,92390
2017,1,3,010,Kreis 1,1,171559,94698,76860,9724
2017,1,3,010,Kreis 1,2,289945,256417,33527,3300
2017,1,3,021,Wollishofen,1,524956,250190,274765,138702
2017,1,3,021,Wollishofen,2,1158370,581588,576782,288426
2017,1,3,023,Leimbach,1,279124,147683,131442,47393
2017,1,3,023,Leimbach,2,227638,118681,108957,42175
2017,1,3,024,Enge,1,96007,36045,59962,20499
2017,1,3,024,Enge,2,844024,506673,337352,111775
2017,1,3,031,Alt-Wiedikon,1,147293,69080,78213,19159
2017,1,3,031,Alt-Wiedikon,2,1423296,733500,689796,133761
2017,1,3,033,Friesenberg,1,517886,287869,230017,64617
2017,1,3,033,Friesenberg,2,210840,121971,88869,30812
2017,1,3,034,Sihlfeld,1,472629,265631,206998,68736
2017,1,3,034,Sihlfeld,2,1088915,647553,441362,92708
2017,1,3,041,Werd,1,106733,29390,77343,7735
2017,1,3,041,Werd,2,400000,170442,229559,36698
2017,1,3,042,Langstrasse,1,155793,74262,81531,9699
2017,1,3,042,Langstrasse,2,1069212,427100,642112,177711
2017,1,3,044,Hard,1,471963,244783,227179,67890
2017,1,3,044,Hard,2,516217,292153,224064,58693
2017,1,3,051,Gewerbeschule,1,324204,130343,193861,18608
2017,1,3,051,Gewerbeschule,2,573074,312853,260222,46265
2017,1,3,052,Escher Wyss,1,264844,18944,245900,130791
2017,1,3,052,Escher Wyss,2,1075216,313556,761660,275811
2017,1,3,061,Unterstrass,1,640132,320944,319188,145579
2017,1,3,061,Unterstrass,2,1312185,707297,604888,187996
2017,1,3,063,Oberstrass,1,158506,89546,68960,27088
2017,1,3,063,Oberstrass,2,647995,495991,152004,51332
2017,1,3,071,Fluntern,1,79816,30096,49720,23263
2017,1,3,071,Fluntern,2,807862,532680,275183,113534
2017,1,3,072,Hottingen,1,92801,31413,61388,21062
2017,1,3,072,Hottingen,2,988663,636577,352086,93762
2017,1,3,073,Hirslanden,1,81325,49267,32058,11261
2017,1,3,073,Hirslanden,2,584486,359959,224527,69811
2017,1,3,074,Witikon,1,91593,39369,52225,39494
2017,1,3,074,Witikon,2,957432,572358,385074,267711
2017,1,3,081,Seefeld,1,55245,11219,44026,26982
2017,1,3,081,Seefeld,2,461109,293494,167615,37364
2017,1,3,082,Mühlebach,1,70215,31496,38719,7745
2017,1,3,082,Mühlebach,2,647644,312680,334963,51519
2017,1,3,083,Weinegg,1,115521,32702,82819,32482
2017,1,3,083,Weinegg,2,458510,246547,211964,78018
2017,1,3,091,Albisrieden,1,632179,342342,289837,150213
2017,1,3,091,Albisrieden,2,1003771,713909,289862,105894
2017,1,3,092,Altstetten,1,773573,388888,384685,180597
2017,1,3,092,Altstetten,2,2263387,1053629,1209759,419505
2017,1,3,101,Höngg,1,429377,241116,188261,87436
2017,1,3,101,Höngg,2,1306433,960874,345559,139231
2017,1,3,102,Wipkingen,1,368639,189531,179108,68819
2017,1,3,102,Wipkingen,2,736785,543570,193215,53708
2017,1,3,111,Affoltern,1,736670,390658,346012,157533
2017,1,3,111,Affoltern,2,1176675,761678,414996,178806
2017,1,3,115,Oerlikon,1,564419,150081,414338,117704
2017,1,3,115,Oerlikon,2,1799242,895899,903343,325639
2017,1,3,119,Seebach,1,1016968,277409,739559,383629
2017,1,3,119,Seebach,2,1849357,801729,1047628,380328
2017,1,3,121,Saatlen,1,557465,240219,317246,190976
2017,1,3,121,Saatlen,2,169108,74965,94143,41056
2017,1,3,122,Schwamendingen-Mitte,1,341831,162375,179456,103568
2017,1,3,122,Schwamendingen-Mitte,2,538553,303829,234723,102118
2017,1,3,123,Hirzenbach,1,629665,239443,390222,218093
2017,1,3,123,Hirzenbach,2,448482,232392,216090,106749
2017,2,1,010,Kreis 1,1,93452,94698,-1246,269
2017,2,1,010,Kreis 1,2,252807,256417,-3611,-222
2017,2,1,021,Wollishofen,1,318817,242573,76244,40477
2017,2,1,021,Wollishofen,2,682258,580492,101766,53963
2017,2,1,023,Leimbach,1,143015,147683,-4668,11527
2017,2,1,023,Leimbach,2,167075,118122,48953,19881
2017,2,1,024,Enge,1,54249,36045,18205,6935
2017,2,1,024,Enge,2,620748,506537,114210,36272
2017,2,1,031,Alt-Wiedikon,1,95194,69080,26114,6682
2017,2,1,031,Alt-Wiedikon,2,815869,733500,82368,26771
2017,2,1,033,Friesenberg,1,338004,282128,55875,22540
2017,2,1,033,Friesenberg,2,140852,121971,18882,12011
2017,2,1,034,Sihlfeld,1,348033,265631,82402,34092
2017,2,1,034,Sihlfeld,2,827567,642775,184792,46341
2017,2,1,041,Werd,1,47465,29390,18075,1206
2017,2,1,041,Werd,2,229881,170442,59440,15223
2017,2,1,042,Langstrasse,1,93759,74262,19498,1377
2017,2,1,042,Langstrasse,2,551437,419288,132149,29160
2017,2,1,044,Hard,1,379933,244783,135150,40876
2017,2,1,044,Hard,2,408154,291979,116175,22801
2017,2,1,051,Gewerbeschule,1,226040,130343,95696,9068
2017,2,1,051,Gewerbeschule,2,348773,312853,35920,7428
2017,2,1,052,Escher Wyss,1,33170,18944,14226,7741
2017,2,1,052,Escher Wyss,2,296252,231822,64431,48612
2017,2,1,061,Unterstrass,1,408979,316206,92774,50470
