district,year,sex,origin,bir
Alt-Wiedikon,2028,female,Swiss,91.26038042427308
Alt-Wiedikon,2028,female,foreign,43.27456962583046
Alt-Wiedikon,2029,male,Swiss,96.66638280535662
Alt-Wiedikon,2029,male,foreign,45.638176622593875
Alt-Wiedikon,2029,female,Swiss,90.91877361270718
Alt-Wiedikon,2029,female,foreign,42.92461275603276
Alt-Wiedikon,2030,male,Swiss,96.30799075202056
Alt-Wiedikon,2030,male,foreign,45.16481703517279
Alt-Wiedikon,2030,female,Swiss,90.58169090601827
Alt-Wiedikon,2030,female,foreign,42.479398277977864
Alt-Wiedikon,2031,male,Swiss,95.9345393630329
Alt-Wiedikon,2031,male,foreign,44.61226338721148
Alt-Wiedikon,2031,female,Swiss,90.23044426467978
Alt-Wiedikon,2031,female,foreign,41.959698475730924
Alt-Wiedikon,2032,male,Swiss,95.52896636372743
Alt-Wiedikon,2032,male,foreign,43.99212574736481
Alt-Wiedikon,2032,female,Swiss,89.84898590617756
Alt-Wiedikon,2032,female,foreign,41.37643310415426
Alt-Wiedikon,2033,male,Swiss,95.05129834648977
Alt-Wiedikon,2033,male,foreign,43.32184810856042
Alt-Wiedikon,2033,female,Swiss,89.39971916979093
Alt-Wiedikon,2033,female,foreign,40.7460089677425
Alt-Wiedikon,2034,male,Swiss,94.52440423672871
Alt-Wiedikon,2034,male,foreign,42.62800828060984
Alt-Wiedikon,2034,female,Swiss,88.90415323577133
Alt-Wiedikon,2034,female,foreign,40.093423607556424
Alt-Wiedikon,2035,male,Swiss,93.97171248151359
Alt-Wiedikon,2035,male,foreign,41.941353033010216
Alt-Wiedikon,2035,female,Swiss,88.38432353787941
Alt-Wiedikon,2035,female,foreign,39.447595645500655
Alt-Wiedikon,2036,male,Swiss,93.43171529390057
Alt-Wiedikon,2036,male,foreign,41.283271937448646
Alt-Wiedikon,2036,female,Swiss,87.87643361144089
Alt-Wiedikon,2036,female,foreign,38.82864286781536
Alt-Wiedikon,2037,male,Swiss,92.94422582898544
Alt-Wiedikon,2037,male,foreign,40.6718014474493
Alt-Wiedikon,2037,female,Swiss,87.4179293929843
Alt-Wiedikon,2037,female,foreign,38.25352931295065
Alt-Wiedikon,2038,male,Swiss,92.59308692537059
Alt-Wiedikon,2038,male,foreign,40.13580111110871
Alt-Wiedikon,2038,female,Swiss,87.08766857678458
Alt-Wiedikon,2038,female,foreign,37.74939859219936
Alt-Wiedikon,2039,male,Swiss,92.42100626052941
Alt-Wiedikon,2039,male,foreign,39.692524226506585
Alt-Wiedikon,2039,female,Swiss,86.92581951865522
Alt-Wiedikon,2039,female,foreign,37.332478153580716
Alt-Wiedikon,2040,male,Swiss,92.47684768409292
Alt-Wiedikon,2040,male,foreign,39.35257255668114
Alt-Wiedikon,2040,female,Swiss,86.97834071164746
Alt-Wiedikon,2040,female,foreign,37.01273939837813
Alt-Wiedikon,2041,male,Swiss,92.77409817895062
Alt-Wiedikon,2041,male,foreign,39.12021249668004
Alt-Wiedikon,2041,female,Swiss,87.25791722691491
Alt-Wiedikon,2041,female,foreign,36.794195049466126
Alt-Wiedikon,2042,male,Swiss,93.30951066828811
Alt-Wiedikon,2042,male,foreign,38.988483823207595
Alt-Wiedikon,2042,female,Swiss,87.76149505298821
Alt-Wiedikon,2042,female,foreign,36.67029872590286
Alt-Wiedikon,2043,male,Swiss,94.01807793964366
Alt-Wiedikon,2043,male,foreign,38.95383815447449
Alt-Wiedikon,2043,female,Swiss,88.42793218929307
Alt-Wiedikon,2043,female,foreign,36.63771302629569
Alt-Wiedikon,2044,male,Swiss,94.8277198843358
